Element Type,Layer Name,Width,Height,Length,Area,Position X,Position Y
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,637.8900825329479
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,637.4900848095592
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,637.0900870861706
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,636.6900893627819
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,636.2900916393932
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,635.8900939160045
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,635.4900961926159
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,635.0900984692273
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,634.6901007458385
Wall (interior),main floor interior line,,,3.9999772338867388,,854.0614666259619,634.29010302245
